feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant,odds_ratio
achieve_physical_health,231.87547562182112,,,,,(ns),5.037784098547477e+100
initial_risk_level_Medium,-192.31220782423756,,,,,(ns),3.0190432823171973e-84
initial_risk_level_High,165.24931020024195,,,,,(ns),5.846063902832926e+71
plan_diversity,160.10997709744532,,,,,(ns),3.4267273517479673e+69
achieve_safety,156.8854166094494,,,,,(ns),1.3629211297517001e+68
achieve_education,147.53556726634974,,,,,(ns),1.1854486549819187e+64
initial_risk_level_Low,-142.19207323263873,,,,,(ns),1.7650915045729674e-62
plans_safety,-116.5663767430672,,,,,(ns),2.3761059675168358e-51
plans_physical_health,-66.8183009216076,,,,,(ns),9.57592243431288e-30
case_category_Surrendered,-56.14665681807823,,,,,(ns),4.128732696651662e-25
case_category_Foundling,-51.146058667518474,,,,,(ns),6.131248939373795e-23
has_special_needs_True,48.332150661406146,,,,,(ns),9.781069183378945e+20
plans_education,-48.32358180009272,,,,,(ns),1.0311814180871722e-21
open_plans,29.425974744218912,,,,,(ns),6019195594945.135
case_category_Neglected,22.197891962138073,,,,,(ns),4369401858.226719
